# Gmail Cleanup Agent - Log de Acciones
# Formato: [TIMESTAMP] ACCIÓN=X | DE=sender | ASUNTO=subject | extra
# Acciones posibles: MOVIDO_A_PAPELERA | CANCELADO | ERROR | RESUMEN | INICIO
[2026-05-19 14:11:04] ACCIÓN=MOVIDO_A_PAPELERA (DEMO) | DE=ofertas@amazon.es | ASUNTO=Ofertas del día — hasta 70% off en tecnología | ID=msg_001 | Razón=Newsletter con List-Unsubscribe, sin abrir 95 días
[2026-05-23 22:12:25] ACCIÓN=MOVIDO_A_PAPELERA (DEMO) | DE=noreply@linkedin.com | ASUNTO=Tienes 5 nuevas visitas a tu perfil | ID=msg_007 | Razón=Notificación automática de red social
[2026-05-23 22:12:25] ACCIÓN=MOVIDO_A_PAPELERA (DEMO) | DE=noreply@linkedin.com | ASUNTO=Juan García te envió una invitación | ID=msg_008 | Razón=Notificación automática de red social
[2026-05-23 22:12:25] ACCIÓN=MOVIDO_A_PAPELERA (DEMO) | DE=no-reply@medium.com | ASUNTO=Tu resumen semanal de Medium | ID=msg_009 | Razón=Newsletter con List-Unsubscribe, sin abrir 85 días
[2026-05-23 22:12:25] ACCIÓN=MOVIDO_A_PAPELERA (DEMO) | DE=noreply@duolingo.com | ASUNTO=¡Llevas 3 días sin practicar! | ID=msg_010 | Razón=Newsletter con List-Unsubscribe, sin abrir 70 días
[2026-05-23 22:12:25] ACCIÓN=MOVIDO_A_PAPELERA (DEMO) | DE=ofertas@groupon.es | ASUNTO=50% off en restaurantes hoy | ID=msg_017 | Razón=Lista segura del usuario: groupon
[2026-05-23 22:12:25] ACCIÓN=MOVIDO_A_PAPELERA (DEMO) | DE=deals@skyscanner.net | ASUNTO=Vuelos baratos desde Madrid | ID=msg_018 | Razón=Lista segura del usuario: skyscanner
[2026-05-23 22:12:25] ACCIÓN=MOVIDO_A_PAPELERA (DEMO) | DE=noreply@ryanair.com | ASUNTO=¡Ofertas de vuelos esta semana! | ID=msg_019 | Razón=Lista segura del usuario: ryanair
[2026-05-23 22:12:25] ACCIÓN=MOVIDO_A_PAPELERA (DEMO) | DE=newsletter@getyourguide.com | ASUNTO=Actividades recomendadas en Barcelona | ID=msg_020 | Razón=Lista segura del usuario: getyourguide
[2026-05-23 22:12:25] ACCIÓN=MOVIDO_A_PAPELERA (DEMO) | DE=promo@bolt.eu | ASUNTO=5€ de descuento en tu próximo viaje | ID=msg_021 | Razón=Lista segura del usuario: bolt
[2026-05-23 22:12:25] ACCIÓN=MOVIDO_A_PAPELERA (DEMO) | DE=news@instantgaming.com | ASUNTO=Juegos en oferta esta semana | ID=msg_022 | Razón=Asunto contiene términos promocionales
[2026-05-23 22:12:25] ACCIÓN=RESUMEN (DEMO) | DE=N/A | ASUNTO=N/A | Movidos=16 | Revisar=1 | Protegidos=10
